threads,blocks,omp_threads,total_time,gpu_time,cuda search,tree_creation,tree_linearization
256,390626,4,31.320000,0.066570,1.572000,28.401000,1.426000
256,390626,4,30.816000,0.066064,1.140000,28.374000,1.012000
256,390626,4,31.563000,0.066332,1.225000,29.091000,1.077000
256,390626,1,32.069000,0.066859,2.009000,28.795000,1.877000
256,390626,4,31.256000,0.066578,1.152000,28.835000,1.031000
256,390626,8,31.096000,0.066292,1.036000,28.807000,0.915000
256,390626,16,30.899000,0.066871,0.973000,28.664000,0.852000
512,195313,1,31.834000,0.066520,1.764000,28.795000,1.643000
512,195313,4,31.295000,0.066618,1.166000,28.866000,1.044000
512,195313,8,31.037000,0.066789,1.025000,28.728000,0.902000
512,195313,16,31.022000,0.067328,0.965000,28.799000,0.842000
1024,97657,1,31.872000,0.066266,1.771000,28.847000,1.650000
1024,97657,4,31.211000,0.066956,1.157000,28.796000,1.030000
1024,97657,8,31.050000,0.067188,1.060000,28.720000,0.933000
1024,97657,16,31.398000,0.066253,1.036000,29.094000,0.910000
256,390626,1,32.449000,0.066638,1.781000,29.410000,1.656000
256,390626,4,31.881000,0.068085,1.210000,29.334000,1.081000
256,390626,8,31.919000,0.067163,1.077000,29.547000,0.953000
256,390626,16,32.981000,0.066286,1.003000,30.698000,0.870000
512,195313,1,32.746000,0.067090,1.780000,29.667000,1.655000
512,195313,4,32.191000,0.068178,1.165000,29.678000,1.042000
512,195313,8,32.003000,0.067075,1.049000,29.658000,0.926000
512,195313,16,31.978000,0.067296,1.017000,29.622000,0.897000
1024,97657,1,32.839000,0.067259,1.786000,29.692000,1.664000
1024,97657,4,32.246000,0.072767,1.229000,29.712000,1.099000
1024,97657,8,32.257000,0.067118,1.004000,29.959000,0.880000
1024,97657,16,32.216000,0.070480,1.026000,29.844000,0.894000
256,390626,1,33.722000,0.067034,1.777000,30.638000,1.645000
256,390626,4,33.126000,0.067103,1.187000,30.661000,1.054000
256,390626,8,31.423000,0.066616,1.063000,29.084000,0.932000
256,390626,16,31.416000,0.067333,1.012000,29.118000,0.879000
512,195313,1,32.167000,0.067064,1.778000,29.074000,1.647000
512,195313,4,32.008000,0.067442,1.172000,29.560000,1.045000
512,195313,8,31.552000,0.067633,1.054000,29.222000,0.926000
512,195313,16,31.783000,0.066925,1.011000,29.440000,0.885000
1024,97657,1,32.327000,0.067279,1.760000,29.291000,1.635000
1024,97657,4,31.709000,0.067258,1.218000,29.160000,1.089000
1024,97657,8,31.366000,0.067914,1.085000,29.016000,0.960000
1024,97657,16,31.278000,0.067176,1.002000,29.004000,0.878000
256,390626,1,32.337000,0.067298,1.783000,29.271000,1.659000
256,390626,4,31.792000,0.067695,1.196000,29.327000,1.072000
256,390626,8,31.507000,0.067233,1.068000,29.152000,0.934000
256,390626,16,31.639000,0.066558,1.071000,29.295000,0.938000
512,195313,1,32.470000,0.067052,1.794000,29.397000,1.664000
512,195313,4,31.823000,0.067105,1.163000,29.386000,1.034000
512,195313,8,31.515000,0.072508,1.051000,29.178000,0.911000
512,195313,16,32.138000,0.068169,1.142000,29.629000,0.958000
1024,97657,1,33.487000,0.067871,1.802000,30.377000,1.671000
1024,97657,4,32.498000,0.069352,1.229000,29.961000,1.099000
1024,97657,8,32.182000,0.067789,1.111000,29.757000,0.983000
1024,97657,16,31.979000,0.067957,1.024000,29.629000,0.888000
256,390626,1,32.869000,0.068016,1.845000,29.704000,1.700000
256,390626,4,32.392000,0.067888,1.203000,29.895000,1.076000
256,390626,8,32.928000,0.068155,1.125000,30.468000,0.992000
256,390626,16,32.150000,0.067722,1.013000,29.832000,0.885000
512,195313,1,33.091000,0.072927,1.813000,29.966000,1.679000
512,195313,4,32.364000,0.068030,1.198000,29.858000,1.068000
512,195313,8,32.026000,0.067666,1.043000,29.679000,0.915000
512,195313,16,31.980000,0.068134,1.052000,29.634000,0.922000
1024,97657,1,33.064000,0.067820,1.783000,29.968000,1.654000
1024,97657,4,32.301000,0.068023,1.198000,29.803000,1.069000
1024,97657,8,32.367000,0.067745,1.063000,30.002000,0.935000
1024,97657,16,32.064000,0.068391,1.003000,29.768000,0.875000
