total_time,binary_search_time,tree_creation_time
34.485000,0.379000,34.106000
34.902000,0.078000,34.824000
34.281000,0.094000,34.187000
33.925000,0.078000,33.847000
34.059000,0.078000,33.981000
33.598000,0.079000,33.519000
34.493000,0.078000,34.415000
34.344000,0.078000,34.266000
33.031000,0.078000,32.953000
34.700000,0.078000,34.622000
35.242000,0.079000,35.163000
33.630000,0.078000,33.552000
32.866000,0.078000,32.788000
33.822000,0.078000,33.744000
34.129000,0.078000,34.051000
34.002000,0.094000,33.908000
33.625000,0.078000,33.547000
35.376000,0.092000,35.284000
35.438000,0.084000,35.354000
35.247000,0.083000,35.164000
